City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Faanui,PF,80.74,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,San Cristobal,VE,82.4,scattered clouds,7.77,-72.22,Pirineos
11,Kapaa,US,84.0,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
20,Hilo,US,87.8,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
26,Hithadhoo,MV,83.39,broken clouds,-0.6,73.08,Scoop Guest House
30,Atambua,ID,79.74,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
34,Vanimo,PG,80.64,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
36,Senanga,ZM,79.77,scattered clouds,-16.12,23.27,Christopher Nasilele House
39,Biak,ID,79.93,overcast clouds,-0.91,122.88,Kost Ariz
41,Padang,ID,78.71,overcast clouds,-0.95,100.35,Mercure Padang
44,Nortelandia,BR,80.73,clear sky,-14.45,-56.8,Hotel Karysmã
45,Tayu,ID,79.2,overcast clouds,-6.54,111.05,Toko pakaian bu is Tayu
51,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
53,Guhagar,IN,75.52,overcast clouds,17.48,73.19,Hotel Seawinds
65,Itaqui,BR,78.94,heavy intensity rain,-29.13,-56.55,Biasi
66,Tanete,ID,77.95,broken clouds,-3.94,119.78,Wisma Tri Multi
69,Harper,LR,77.95,broken clouds,4.38,-7.72,Screensaver
71,Novo Horizonte,BR,79.23,light rain,-21.47,-49.22,Alvorada Hotel
77,Atuona,PF,78.94,clear sky,-9.8,-139.03,Villa Enata
80,Miraflores,MX,77.0,clear sky,19.22,-98.81,Hotel Mansión
81,Guaruja,BR,75.0,clear sky,-23.99,-46.26,Charme Hotel Guarujá
84,Soyo,AO,76.95,overcast clouds,-6.13,12.37,Hotel Mpampa
87,La Asuncion,VE,81.59,clear sky,11.03,-63.86,Colinas de Matasiete
88,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
93,Popondetta,PG,87.24,light rain,-8.75,148.25,Timos Transit House
103,Pitimbu,BR,78.8,clear sky,-7.47,-34.81,Reserva do Abiaí
109,Luwuk,ID,81.0,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
111,Manokwari,ID,81.66,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
118,Avarua,CK,78.8,broken clouds,-21.21,-159.78,Paradise Inn
135,Paraguacu Paulista,BR,79.23,scattered clouds,-22.41,-50.58,Hotel Água das Araras
152,Kudahuvadhoo,MV,82.11,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
157,Butaritari,KI,81.27,broken clouds,3.07,172.79,Isles Sunset Lodge
171,Abu Zabad,SD,79.56,few clouds,12.35,29.25,محي الدين نوري
179,Fare,PF,80.67,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
181,Georgetown,MY,78.8,light rain,5.41,100.34,Cititel Penang
186,Indramayu,ID,80.67,overcast clouds,-6.33,108.32,Grand Trisula Hotel
192,Ixtapa,MX,88.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
