City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7,30.79,43.0,93,90,6.71,overcast clouds
1,Puerto Ayora,EC,-0.74,-90.35,68.0,86,70,5.99,broken clouds
2,Agirish,RU,61.92,63.02,24.71,98,100,4.18,overcast clouds
3,Faanui,PF,-16.48,-151.75,80.74,68,34,7.14,scattered clouds
4,Rikitea,PF,-23.12,-134.97,74.71,80,100,23.55,light rain
5,Najran,SA,17.49,44.13,62.6,18,0,4.7,clear sky
6,Cape Town,ZA,-33.93,18.42,63.0,83,4,3.0,clear sky
7,San Cristobal,VE,7.77,-72.22,82.4,65,40,10.29,scattered clouds
8,Aranos,NA,-24.13,19.12,71.65,39,57,7.14,broken clouds
9,Punta Arenas,CL,-53.15,-70.92,46.4,75,75,3.36,broken clouds
10,Albany,US,42.6,-73.97,44.01,56,0,4.45,clear sky
11,Kapaa,US,22.08,-159.32,84.0,78,20,9.17,few clouds
12,Lebu,CL,-37.62,-73.65,51.31,69,0,6.78,clear sky
13,Busselton,AU,-33.65,115.33,64.0,57,0,5.48,clear sky
14,Ormara,PK,25.21,64.64,75.88,53,0,4.38,clear sky
15,Aklavik,CA,68.22,-135.01,23.0,85,90,11.41,overcast clouds
16,Vila Velha,BR,-20.33,-40.29,71.6,94,75,6.93,light rain
17,Bredasdorp,ZA,-34.53,20.04,60.8,87,100,10.29,overcast clouds
18,Saint-Philippe,RE,-21.36,55.77,73.4,68,0,10.29,clear sky
19,Muyezerskiy,RU,63.93,31.65,28.51,98,83,5.01,broken clouds
20,Hilo,US,19.73,-155.09,87.8,48,20,13.87,few clouds
21,Jamestown,US,42.1,-79.24,45.0,68,90,12.75,overcast clouds
22,Victoria,HK,22.29,114.16,73.99,78,100,15.82,overcast clouds
23,Cherskiy,RU,68.75,161.3,15.31,96,100,0.36,overcast clouds
24,East London,ZA,-33.02,27.91,66.38,70,96,2.3,overcast clouds
25,Olga,RU,43.74,135.29,40.26,72,0,6.98,clear sky
26,Hithadhoo,MV,-0.6,73.08,83.39,68,55,6.31,broken clouds
27,Rio Gallegos,AR,-51.62,-69.22,55.4,58,40,9.17,scattered clouds
28,Mataura,NZ,-46.19,168.86,53.01,63,94,5.99,overcast clouds
29,Nemuro,JP,43.32,145.57,49.82,73,0,19.93,clear sky
30,Atambua,ID,-9.11,124.89,79.74,75,98,2.55,overcast clouds
31,Upernavik,GL,72.79,-56.15,13.8,76,64,4.9,broken clouds
32,Port Alfred,ZA,-33.59,26.89,64.13,83,94,1.61,light rain
33,Mar Del Plata,AR,-38.0,-57.56,62.6,100,90,5.82,moderate rain
34,Vanimo,PG,-2.67,141.3,80.64,82,100,2.3,moderate rain
35,Buzmeyin,TM,38.05,58.21,51.8,53,0,2.24,clear sky
36,Senanga,ZM,-16.12,23.27,79.77,19,36,9.82,scattered clouds
37,Margate,GB,51.38,1.39,51.01,66,86,5.99,light rain
38,Wilmington,US,34.23,-77.94,72.0,88,90,11.41,heavy intensity rain
39,Biak,ID,-0.91,122.88,79.93,72,100,4.25,overcast clouds
40,Ornskoldsvik,SE,63.29,18.72,48.2,100,100,10.29,overcast clouds
41,Padang,ID,-0.95,100.35,78.71,70,100,2.3,overcast clouds
42,Qafqafa,JO,32.35,35.94,64.4,36,0,2.13,clear sky
43,Pungesti,RO,46.7,27.33,55.4,93,40,3.36,light rain
44,Nortelandia,BR,-14.45,-56.8,80.73,65,6,4.45,clear sky
45,Tayu,ID,-6.54,111.05,79.2,83,100,5.82,overcast clouds
46,Vao,NC,-22.67,167.48,72.5,82,6,13.85,clear sky
47,Rocha,UY,-34.48,-54.33,67.82,89,100,8.34,moderate rain
48,Yellowknife,CA,62.46,-114.35,30.2,68,75,3.36,broken clouds
49,Bethel,US,41.37,-73.41,48.99,57,90,4.7,overcast clouds
50,Makushino,RU,55.21,67.24,40.33,91,99,4.41,overcast clouds
51,Port-Gentil,GA,-0.72,8.78,80.6,78,75,11.41,broken clouds
52,Hermanus,ZA,-34.42,19.23,60.01,89,88,1.01,overcast clouds
53,Guhagar,IN,17.48,73.19,75.52,89,90,3.53,overcast clouds
54,Constitucion,CL,-35.33,-72.42,53.33,69,0,14.9,clear sky
55,Bluff,NZ,-46.6,168.33,53.01,63,71,5.99,broken clouds
56,Pacifica,US,37.61,-122.49,69.8,49,20,3.36,few clouds
57,Glarus,CH,47.04,9.07,48.99,41,77,9.24,broken clouds
58,Lanzhou,CN,36.06,103.79,46.0,35,32,3.58,scattered clouds
59,Qaanaaq,GL,77.48,-69.36,11.17,79,100,10.07,overcast clouds
60,Port Hawkesbury,CA,45.62,-61.35,41.0,69,90,9.17,overcast clouds
61,Hobart,AU,-42.88,147.33,57.0,54,75,11.41,broken clouds
62,Mezhdurechensk,RU,53.69,88.06,30.13,96,100,5.41,overcast clouds
63,Luderitz,NA,-26.65,15.16,65.28,54,75,22.7,broken clouds
64,Clarence Town,AU,-32.58,151.78,62.01,100,90,25.28,heavy intensity rain
65,Itaqui,BR,-29.13,-56.55,78.94,58,19,7.65,heavy intensity rain
66,Tanete,ID,-3.94,119.78,77.95,80,72,3.29,broken clouds
67,Coquimbo,CL,-29.95,-71.34,57.2,82,20,17.22,few clouds
68,Vila Franca Do Campo,PT,37.72,-25.43,59.0,82,20,5.82,few clouds
69,Harper,LR,4.38,-7.72,77.95,87,78,6.78,broken clouds
70,Maniitsoq,GL,65.42,-52.9,27.73,80,100,8.39,overcast clouds
71,Novo Horizonte,BR,-21.47,-49.22,79.23,63,68,7.76,light rain
72,Nome,US,64.5,-165.41,39.2,80,90,6.93,overcast clouds
73,Tuktoyaktuk,CA,69.45,-133.04,21.2,85,90,19.46,light snow
74,Mehamn,NO,71.04,27.85,33.8,69,40,17.22,scattered clouds
75,Richards Bay,ZA,-28.78,32.04,70.36,81,96,11.86,overcast clouds
76,Chokurdakh,RU,70.63,147.92,5.65,92,3,9.86,clear sky
