City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Achacachi,BO,2020-10-25 00:11:57,-16.05,-68.68,47.28,68,92,7.87
1,Cape Town,ZA,2020-10-25 00:10:25,-33.93,18.42,60.01,93,75,4.7
2,Ushuaia,AR,2020-10-25 00:11:57,-54.8,-68.3,46.4,61,75,5.82
3,Nikolskoye,RU,2020-10-25 00:08:27,59.7,30.79,39.0,86,75,4.47
4,Kahului,US,2020-10-25 00:07:36,20.89,-156.47,91.4,52,40,16.11
5,Severo-Kurilsk,RU,2020-10-25 00:11:58,50.68,156.12,46.92,92,100,16.93
6,Gonbad-E Qabus,IR,2020-10-25 00:11:58,37.25,55.17,63.72,31,0,4.23
7,Nanortalik,GL,2020-10-25 00:11:58,60.14,-45.24,32.94,89,39,7.7
8,Isangel,VU,2020-10-25 00:09:42,-19.55,169.27,82.4,69,75,5.82
9,Oxapampa,PE,2020-10-25 00:11:58,-10.58,-75.4,61.59,87,86,2.39
10,Trenton,US,2020-10-25 00:11:59,40.22,-74.74,57.99,62,1,10.29
11,Hambantota,LK,2020-10-25 00:09:16,6.12,81.12,78.24,82,88,10.85
12,Rikitea,PF,2020-10-25 00:11:59,-23.12,-134.97,74.84,80,97,21.81
13,Magistralnyy,RU,2020-10-25 00:11:59,56.17,107.45,34.77,93,100,2.86
14,Guerrero Negro,MX,2020-10-25 00:11:59,27.98,-114.06,69.6,73,8,17.96
15,Caucaia,BR,2020-10-25 00:11:59,-3.74,-38.65,81.0,83,20,11.41
16,Qaanaaq,GL,2020-10-25 00:12:00,77.48,-69.36,16.84,90,100,11.9
17,Coihaique,CL,2020-10-25 00:12:00,-45.58,-72.07,48.2,66,90,4.7
18,Bethanien,NA,2020-10-25 00:12:00,-26.5,17.16,68.76,24,18,3.71
19,New Norfolk,AU,2020-10-25 00:12:00,-42.78,147.06,51.01,54,32,3.0
20,Albany,US,2020-10-25 00:12:00,42.6,-73.97,46.99,68,20,5.99
21,Krasnyy Chikoy,RU,2020-10-25 00:12:01,50.36,108.75,31.39,93,98,2.28
22,Mitchell,US,2020-10-25 00:08:32,43.71,-98.03,26.6,79,90,11.41
23,Cayenne,GF,2020-10-25 00:12:01,4.93,-52.33,80.6,83,75,4.7
24,Caravelas,BR,2020-10-25 00:12:02,-17.71,-39.25,75.9,86,90,7.65
25,Twin Falls,US,2020-10-25 00:12:02,42.35,-114.64,44.6,65,90,20.8
